"Klasyczna teoria, cz. 1<br>Metoda charakterystyk","[$]F(p,z,x): \R^{2n+1} \to \R[/$], [$]g: \Gamma \to \R[/$] gÅ‚adkie. $U[$] otwarty.<br><br>[/$][$]<br>  (*)<br>  \begin{cases}<br>    F(Du, u, x) = 0 & \text{ w } U \<br>    u = g           & \text{ w } \Gamma \subset \partial U<br>  \end{cases}<br>[/$][$]<br><br>\begin{align*}<br>    \mathbf{p}(s) &= Du(\mathbf{x}(s)) \\        <br>             z(s) &= u(\mathbf{x}(s))<br>\end{align*}<br>PoniÅ¼ej [/$]\mathbf{p}, z, \mathbf{x}[$] od [/$]s[$], [/$]F[$] od [/$]\mathbf{p}, z, \mathbf{x}[$].<br>[/$][$]<br>  (**)<br>  \begin{cases}<br>    (a) \; \dot{\mathbf{p}} = - D_x F - D_z F \cdot \mathbf{p} \<br>    (b)  \; \dot{z} = D_p F \cdot \mathbf{p}\<br>    (c)  \; \dot{\mathbf{x}} = D_p F<br>  \end{cases}<br>[/$][$]<br>JeÅ¼eli [/$]u \in C^2(U)[$] speÅ‚nia [/$](*)[$], a [/$]\mathbf{x}[$] speÅ‚nia [/$](**)(c)[$], to [/$]\mathbf{p}[$] i [/$]z[$] speÅ‚niajÄ… [/$](**)(a)[$] i [/$](**)(b)$."
"Klasyczna teoria, cz. 1<br>Twierdzenie Greena","[$]\Omega \subset \R^n, \partial \Omega[/$] lokalnie [$]C^1[/$], a [$]\vec{n} = (n_1, \ldots, n_n)[/$] to wskazujÄ…cy na zewnÄ…trz [$]\Omega[/$] wektor normalny.<br>\begin{enumerate}<br>    \item [$]v: \Omega \to \R^n, v \in C^1(\Omega) \cap C(\overline{\Omega})[/$]<br>    [$$] \int_\Omega \operatorname{div} v\,dx = \int_{\partial\Omega} v \cdot \vec{n}\,dS(x) [/$$]<br>    \item [$]f \in C^1(\Omega, \R)[/$]<br>    [$$] \int_\Omega f_{x_i}\,dx = \int_{\partial\Omega} f n_i \,dS(x) [/$$]<br>    \item [$]f,g \in C^1(\Omega, \R)[/$]<br>    $[$] \int_\Omega f_{x_i} g\,dx = \int_{\partial\Omega} f g n_i \,dS(x)<br>       - \int_\Omega f g_{x_i}\,dx [/$]$<br>\end{enumerate}"
"Klasyczna teoria, cz. 1<br>Funkcje harmoniczne","<br>[$]U \subset \R^n[/$]. FunkcjÄ™ [$]u: U \to \R[/$] nazywamy<br>\begin{itemize}<br>    \item HarmonicznÄ…, jeÅ›li [$$]\triangle u = 0.[/$$]<br>    \item PodharmonicznÄ…, jeÅ›li [$$]-\triangle u \leq 0.[/$$]<br>    \item NadharmonicznÄ…, jeÅ›li [$$]-\triangle u \geq 0.[/$$]<br>\end{itemize}"
"Klasyczna teoria, cz. 1<br>WÅ‚asnoÅ›Ä‡ wartoÅ›ci Å›redniej (MVP) dla funkcji harmonicznych","JeÅ¼eli [$]u \in C^2(U)[/$] jest harmoniczna, to dla kaÅ¼dej kuli [$]B(x, r) \subset U[/$] zachodzi<br>[$$] u(x) =  \dashint_{B(x,r)} u\,dy = \dashint_{\partial B(x,r)} u\,dS(y).[/$$]"
"Klasyczna teoria, cz. 1<br>Zasada maksimum dla funkcji harmonicznych","JeÅ¼eli [$]U \subset \R^n[/$], otwarty i ograniczony, a [$]u \in C^2(U) \cap C(\overline{U})[/$] jest harmoniczna wewnÄ…trz $U$, to<br>[$$] \max_{\overline{U}} u = \max_{\partial U} u.[/$$]<br>Ponadto, jeÅ›li $U[$] jest spÃ³jny i istnieje punkt [/$]x_0 \in U$ taki, Å¼e<br>[$$] u(x_0) = \max_{\overline{U}} u,[/$$]<br>to $u[$] jest staÅ‚a w [/$]U$."
RÃ³wnanie ciepÅ‚a i transformata Fouriera<br>Transformata Fouriera,"Dla [$]f \in L^1(\R^n)[/$], transformatÄ… Fouriera nazywamy<br><br>[$$] \widehat{f}(\xi) = \F(f)(\xi) = \frac{1}{(2\pi)^{n/2}} \int_{\R^n} e^{-ix \cdot \xi} f(x)\,dx, [/$$]<br>a odwrotna transformata Fouriera to<br><br>[$$]\widecheck{f}(\xi) = \F^{-1}(f)(\xi) = \frac{1}{(2\pi)^{n/2}} \int_{\R^n} e^{ix \cdot \xi} f(x)\,dx. [/$$]"
RÃ³wnanie ciepÅ‚a i transformata Fouriera<br>WÅ‚asnoÅ›ci transformaty Fouriera,"Niech [$]u, v \in L^2(\R^n)[/$].<br>\begin{enumerate}<br>    \item Transformata pochodnej:\<br>          Dla kaÅ¼dego wielowskaÅºnika [$]\alpha[/$], takiego Å¼e [$]D^\alpha u \in L^2(\R^n)[/$] zachodzi<br>          [$$] \F(D^\alpha u)(\xi) = (i\xi)^\alpha \widehat{u}(\xi).[/$$]<br>    \item Transformata splotu:<br>          [$$]\F(u * v) = (2\pi)^{n/2}\widehat{u}\widehat{v}.[/$$]<br>    \item OdwracalnoÅ›Ä‡:<br>          [$$]\F^{-1}(\widehat{u}) = u.[/$$]<br>\end{enumerate}"
RÃ³wnanie ciepÅ‚a i transformata Fouriera<br>Twierdzenie Plancherela,"Niech [$]u \in L^1(\R^n) \cap L^2(\R^n)[/$]. WÃ³wczas [$]\widehat{u}, \widecheck{u} \in L^2(\R^n)[/$] i<br>[$$] \norm{\widehat{u}}_{L^2} = \norm{\widecheck{u}}_{L^2} = \norm{u}_{L^2}. [/$$]"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>SÅ‚aba pochodna,"$v[$] jest [/$]\alpha[$]-tÄ… sÅ‚abÄ… pochodnÄ… funkcji [/$]u[$], oznaczanÄ… [/$]D^\alpha u$, o ile<br>[$$] \int_U u D^\alpha \varphi \, dx = (-1)^{|\alpha|} \int_U v \varphi \, dx, [/$$]<br>dla kaÅ¼dej funkcji prÃ³bnej [$]\varphi \in C^\infty_c(U)[/$]."
"Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>PrzestrzeÅ„ Sobolewa [$]W^{k,p}(U)[/$]","skÅ‚ada siÄ™ ze wszystkich funkcji lokalnie caÅ‚kowalnych [$]u: U \to \R[/$] takich, Å¼e dla kaÅ¼dego wielowskaÅºnika [$]\alpha[/$] dÅ‚ugoÅ›ci [$]|\alpha| \leq k[/$], pochodna [$]D^\alpha u[/$] istnieje w sÅ‚abym sensie i naleÅ¼y do [$]L^p (U)[/$].\<br><br>\noindent<br>NormÄ™ okreÅ›lamy nastÄ™pujÄ…co<br>[$$] \norm{u}_{W^{k,p}} = \big( \sum_{|\alpha| \leq k} \int_U |D^\alpha u|^p \big)^{1/p},[/$$]<br>bÄ…dÅº rÃ³wnowaÅ¼nie<br>[$$] \norm{u}_{W^{k,p}} = \sum_{|\alpha| \leq k} \int_U \norm{D^\alpha u}_{L^p}.[/$$]"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Aproksymacja funkcjami gÅ‚adkimi,"Niech [$]u \in W^{1,p}(U)[/$], wÃ³wczas<br>\begin{enumerate}<br>    \item JeÅ¼eli $U[$] nie jest ograniczony, to\<br>          istniejÄ… funkcje [/$]u^\varepsilon \in C^\infty(U_\varepsilon)$ takie, Å¼e<br>          [$$] u^\varepsilon \to u \text{ w } W^{k,p}_\text{loc}(U) \text{, gdy } \varepsilon \to 0.  [/$$]<br>    \item JeÅ¼eli U jest ograniczony, to\<br>          istniejÄ… funkcje [$]u_m \in C^\infty(U) \cap W^{k,p}(U)[/$] takie, Å¼e<br>          [$$] u_m \to u \text{ w } W^{k,p}(U).  [/$$]<br>    \item JeÅ¼eli U jest ograniczony i [$]\partial U \in C^1[/$], to\<br>          istniejÄ… funkcje [$]u_m \in C^\infty(\overline{U})[/$] takie, Å¼e<br>          [$$] u_m \to u \text{ w } W^{k,p}(U).  [/$$]<br>\end{enumerate}"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>PrzedÅ‚uÅ¼anie,"Niech [$]1 \leq p \leq \infty[/$], $U[$] bÄ™dzie otwarty, a [/$]\partial U \in C^1[$]. Wybierzmy ograniczony i otwarty zbiÃ³r [/$]V[$] taki, Å¼e [/$]U \subset \subset V$. WÃ³wczas istnieje ograniczony operator liniowy<br>[$$] E: W^{1,p}(U) \to W^{1,p}(\R^n), [/$$]<br>taki, Å¼e dla kaÅ¼dej funkcji $u[$]:<br>\begin{enumerate}<br>    \item [/$]Eu = u[$] p.w. w [/$]U[$],<br>    \item [/$]Eu[$] ma noÅ›nik zawarty w [/$]V[$]<br>    \item [/$]\norm{Eu}_{W^{1,p}(\R^n)} \leq C \norm{Eu}_{W^{1,p}(U)}[$], przy czym staÅ‚a [/$]C[$] nie zaleÅ¼y od [/$]u$.<br>\end{enumerate}"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie o Å›ladzie,"ZaÅ‚Ã³Å¼my, Å¼e $U[$] jest zbiorem ograniczonym i [/$]\partial U \in C^1$. Istnieje wÃ³wczas ograniczony operator liniowy<br>[$$] T: W^{1,p}(U) \to L^p(\partial U) [/$$]<br>taki, Å¼e<br>\begin{enumerate}<br>    \item [$]Tu = u|_{\partial U}[/$], jeÅ›li [$]u \in W^{1,p}(U) \cap C(\overline{U}).[/$]<br>    \item Istnieje staÅ‚a $C[$] taka, Å¼e dla kaÅ¼dej funkcji [/$]u \in W^{1,p}(U)$<br>          [$$]\norm{Tu}_{L^p(\partial U)} \leq C \norm{u}_{W^{1,p}(U)}.[/$$]<br>\end{enumerate}"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>WykÅ‚adnik sprzÄ™Å¼ony w sensie Sobolewa do $p$,"[$$] p^* := \frac{np}{n-p}, [/$$]<br>zauwaÅ¼my, Å¼e<br>[$$] \frac{1}{p^*} = \frac{1}{p} - \frac{1}{n}, p^* > p.[/$$]"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>NierÃ³wnoÅ›Ä‡ G-N-S,"ZaÅ‚Ã³Å¼my, Å¼e [$]1 \leq p < n[/$]. Istnieje staÅ‚a $C$ taka, Å¼e <br>[$$]\norm{u}_{L^{p^*}(\R^n)} \leq C \norm{\nabla u}_{L^p(\R^n)}[/$$]<br>dla wszystkich [$]u \in C^1_c(\R^n)[/$]."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Sobolewa o zanurzaniu w [$]L^{p^*}[/$],"Niech $U[$] bÄ™dzie otwarty i ograniczony, [/$]\partial U \in C^1[$], a [/$]u \in W^{1,p}(U)[$] dla [/$]1 \leq p < n[$].<br>WÃ³wczas dla kaÅ¼dego [/$]1 \leq q \leq p^*$<br>[$$] u \in L^q(U) [/$$]<br>oraz<br>[$$]\norm{u}_{L^q(U)} \leq C \norm{u}_{W^{1,p}}[/$$]<br>dla staÅ‚ej $C[$] niezaleÅ¼nej od [/$]u$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>NierÃ³wnoÅ›Ä‡ Poincar\'ego z zerowym Å›ladem,"Niech $U[$] bÄ™dzie otwarty i ograniczony, a [/$]u \in W^{1,p}_0(U)[$] dla [/$]1 \leq p < n[$].<br>WÃ³wczas dla kaÅ¼dego [/$]1 \leq q \leq p^*$<br>[$$]\norm{u}_{L^q(U)} \leq C \norm{\nabla u}_{L^p(U)}[/$$]<br>dla staÅ‚ej $C[$] niezaleÅ¼nej od [/$]u$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>NierÃ³wnoÅ›Ä‡ Poincar\'ego z wartoÅ›ciÄ… Å›redniÄ…,"Niech $U[$] bÄ™dzie otwarty, ograniczony i spÃ³jny, [/$]\partial U \in C^1[$], a [/$]u \in W^{1,p}(U)[$] dla [/$]1 \leq p \leq \infty[$].<br>Istnieje wÃ³wczas staÅ‚a [/$]C[$], niezaleÅ¼na od [/$]u$ i taka, Å¼e<br>[$$]\norm{u - \dashint_U u}_{L^p(U)} \leq C \norm{\nabla u}_{L^p(U)}.[/$$]"
"Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>PrzestrzeÅ„ funkcji H\""olderowskich","Funkcja jest $f[$] H\""olderowska z wykÅ‚adnikiem [/$]\gamma$, jeÅ¼eli<br>[$$] |f|_{C^{0, \gamma}(U)} = \sup_{x \neq y \in U} \frac{|f(x)-f(y)|}{|x-y|^\gamma} < \infty.[/$$]<br>Przestrzeni funkcji H\""olderowskich ciÄ…gÅ‚ych na [$]\overline{U}[/$], tj. [$]C^{0, \gamma}(U) \cap C(\overline{U})[/$] moÅ¼na nadaÄ‡ normÄ™<br>[$$] \norm{f}_{C^{0, \gamma}(U)} = \norm{f}_\text{sup} + |f|_{C^{0, \gamma}(U)}.[/$$]"
"Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Sobolewa o zanurzaniu w funkcje H\""olderowskie","Niech $U[$] bÄ™dzie otwarty i ograniczony, [/$]\partial U \in C^1[$], a [/$]u \in W^{1,p}(U)[$] dla [/$]p > n[$].<br>WÃ³wczas istnieje funkcja [/$]u^* \in C^{0, 1-\frac{n}{p}}(U)$ taka, Å¼e <br>[$$] u = u^* \text{ p.w. w } U[/$$]<br>oraz<br>[$$]\norm{u^*}_{C^{0, 1-\frac{n}{p}}(U)} \leq C \norm{u}_{W^{1,p}(U)}[/$$]<br>dla staÅ‚ej $C[$] niezaleÅ¼nej od [/$]u$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Laxa-Milgrama,"Niech $X[$] bÄ™dzie przestrzeniÄ… Hilberta nad [/$]\R[$]. JeÅ¼eli<br>\begin{enumerate}<br>    \item [/$]B: X \times X \to \R[$] jest formÄ… dwuliniowÄ… takÄ…, Å¼e <br>    \begin{itemize}<br>        \item [/$]B[u,v] \leq C_1 \norm{u}_X \norm{v}_X[$] (ograniczonoÅ›Ä‡)<br>        \item [/$]B[u,u] \geq C_2 \norm{u}^2_X[$] (eliptycznoÅ›Ä‡)<br>    \end{itemize}<br>    \item [/$]F \in X^*[$]<br>\end{enumerate}<br>to istnieje dokÅ‚adnie jedno [/$]u \in X[$] takie, Å¼e dla kaÅ¼dego [/$]v \in X$<br>[$$] B[u,v] = F[v].[/$$]"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Zwarte zanurzenie,"Niech [$]X, Y[/$] bÄ™dÄ… przestrzeniami Banacha, [$]X \subset Y[/$]. MÃ³wimy, Å¼e $X[$] zanurza siÄ™ w [/$]Y$ w sposÃ³b zwarty i piszemy<br>[$$] X \subset \subset Y, [/$$]<br>o ile<br>\begin{enumerate}<br>    \item Istnieje staÅ‚a $C[$] taka, Å¼e dla kaÅ¼dego [/$]x \in X$<br>    [$$] \norm{x}_Y \leq C \norm{x}_X. [/$$]<br>    \item KaÅ¼dy ciÄ…g ograniczony w przestrzeni $X[$] zawiera podciÄ…g zbieÅ¼ny w przestrzeni [/$]Y$.<br>\end{enumerate} "
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Rellicha-Kondradaszowa,"Niech $U[$] bÄ™dzie otwarty i ograniczony, [/$]\partial U \in C^1[$]. JeÅ¼eli [/$]1 \leq p < n$, to<br>[$$] W^{1,p} \subset \subset L^q(U) [/$$]<br>dla kaÅ¼dego [$]1 \leq q < p^*[/$].<br><br><br>\end{document}"
